user_id,user_segment,region,ad_campaign,ad_intensity,click_behavior,purchase_decision,customer_satisfaction,campaign_date,session_duration_sec
USER_0001,Family_Oriented,Latin_America,Email_Campaign,Medium_Exposure,No_Click,No_Purchase,Very_Unsatisfied,2025-10-26,382
USER_0002,Student_Budget,Asia_Pacific,Social_Media_Promo,Heavy_Exposure,Detailed_Engagement,Small_Order,Neutral,2025-10-29,170
USER_0003,Family_Oriented,Europe,Search_Engine_Ad,Light_Exposure,Detailed_Engagement,No_Purchase,Very_Unsatisfied,2025-11-03,199
USER_0004,Young_Professional,Europe,Search_Engine_Ad,Heavy_Exposure,Quick_View,Medium_Order,Somewhat_Satisfied,2025-11-10,176
USER_0005,Young_Professional,Latin_America,Email_Campaign,Light_Exposure,No_Click,No_Purchase,Very_Unsatisfied,2025-10-22,464
USER_0006,Student_Budget,Asia_Pacific,Social_Media_Promo,Light_Exposure,No_Click,No_Purchase,Somewhat_Unsatisfied,2025-10-28,115
USER_0007,Student_Budget,North_America,Video_Commercial,Medium_Exposure,Detailed_Engagement,Large_Order,Somewhat_Satisfied,2025-11-04,465
USER_0008,Student_Budget,Europe,Video_Commercial,Heavy_Exposure,Shared_Content,Medium_Order,Somewhat_Satisfied,2025-10-25,197
USER_0009,Student_Budget,North_America,Video_Commercial,Light_Exposure,Shared_Content,Medium_Order,Neutral,2025-10-26,72
USER_0010,Tech_Enthusiast,Asia_Pacific,Email_Campaign,Heavy_Exposure,No_Click,No_Purchase,Very_Unsatisfied,2025-11-12,210
USER_0011,Student_Budget,North_America,Social_Media_Promo,Light_Exposure,Quick_View,Small_Order,Somewhat_Satisfied,2025-10-23,556
USER_0012,Student_Budget,North_America,Email_Campaign,Heavy_Exposure,Quick_View,Small_Order,Somewhat_Satisfied,2025-11-10,216
USER_0013,Family_Oriented,North_America,Social_Media_Promo,Light_Exposure,Detailed_Engagement,Small_Order,Somewhat_Satisfied,2025-10-20,494
USER_0014,Young_Professional,Europe,Video_Commercial,Light_Exposure,No_Click,No_Purchase,Very_Unsatisfied,2025-11-17,566
USER_0015,Family_Oriented,North_America,Search_Engine_Ad,Light_Exposure,Quick_View,Medium_Order,Neutral,2025-10-27,357
USER_0016,Family_Oriented,Latin_America,Social_Media_Promo,Medium_Exposure,No_Click,No_Purchase,Very_Unsatisfied,2025-11-13,465
USER_0017,Student_Budget,Europe,Email_Campaign,Light_Exposure,No_Click,No_Purchase,Very_Unsatisfied,2025-10-26,242
USER_0018,Family_Oriented,North_America,Social_Media_Promo,Light_Exposure,Detailed_Engagement,Medium_Order,Somewhat_Unsatisfied,2025-10-26,90
USER_0019,Family_Oriented,Latin_America,Search_Engine_Ad,Light_Exposure,Quick_View,Small_Order,Somewhat_Satisfied,2025-10-29,425
USER_0020,Student_Budget,North_America,Search_Engine_Ad,Light_Exposure,Detailed_Engagement,Small_Order,Very_Satisfied,2025-10-28,520
USER_0021,Young_Professional,Asia_Pacific,Search_Engine_Ad,Light_Exposure,No_Click,No_Purchase,Somewhat_Unsatisfied,2025-10-31,355
USER_0022,Student_Budget,North_America,Email_Campaign,Light_Exposure,Quick_View,No_Purchase,Somewhat_Satisfied,2025-11-18,482
USER_0023,Young_Professional,Europe,Email_Campaign,Light_Exposure,No_Click,Medium_Order,Somewhat_Satisfied,2025-11-02,11
USER_0024,Tech_Enthusiast,Latin_America,Email_Campaign,Heavy_Exposure,No_Click,No_Purchase,Neutral,2025-11-03,140
USER_0025,Tech_Enthusiast,Europe,Video_Commercial,Heavy_Exposure,Shared_Content,Medium_Order,Somewhat_Satisfied,2025-10-20,236
USER_0026,Family_Oriented,Latin_America,Video_Commercial,Light_Exposure,Detailed_Engagement,Small_Order,Somewhat_Satisfied,2025-10-21,170
USER_0027,Young_Professional,Europe,Social_Media_Promo,Light_Exposure,Detailed_Engagement,Medium_Order,Neutral,2025-11-03,469
USER_0028,Student_Budget,Europe,Social_Media_Promo,Medium_Exposure,Shared_Content,Medium_Order,Very_Satisfied,2025-10-23,235
USER_0029,Family_Oriented,Europe,Email_Campaign,Heavy_Exposure,No_Click,No_Purchase,Somewhat_Unsatisfied,2025-11-02,521
USER_0030,Young_Professional,Latin_America,Video_Commercial,Heavy_Exposure,Detailed_Engagement,No_Purchase,Somewhat_Satisfied,2025-11-02,311
USER_0031,Tech_Enthusiast,Latin_America,Video_Commercial,Light_Exposure,Detailed_Engagement,Medium_Order,Neutral,2025-11-01,575
USER_0032,Senior_Conservative,Europe,Social_Media_Promo,Medium_Exposure,Shared_Content,Small_Order,Somewhat_Satisfied,2025-11-17,113
USER_0033,Senior_Conservative,Asia_Pacific,Search_Engine_Ad,Light_Exposure,Detailed_Engagement,Medium_Order,Very_Satisfied,2025-11-06,515
USER_0034,Young_Professional,Europe,Social_Media_Promo,Light_Exposure,Quick_View,No_Purchase,Neutral,2025-11-04,101
USER_0035,Student_Budget,Europe,Email_Campaign,Light_Exposure,No_Click,Medium_Order,Very_Satisfied,2025-10-24,351
USER_0036,Family_Oriented,North_America,Search_Engine_Ad,Medium_Exposure,Quick_View,Medium_Order,Neutral,2025-11-07,14
USER_0037,Student_Budget,Asia_Pacific,Social_Media_Promo,Medium_Exposure,Detailed_Engagement,No_Purchase,Very_Unsatisfied,2025-11-01,115
USER_0038,Family_Oriented,Asia_Pacific,Social_Media_Promo,Medium_Exposure,No_Click,No_Purchase,Somewhat_Satisfied,2025-10-27,136
USER_0039,Senior_Conservative,Europe,Social_Media_Promo,Light_Exposure,No_Click,No_Purchase,Neutral,2025-11-11,246
USER_0040,Family_Oriented,Latin_America,Email_Campaign,Medium_Exposure,Quick_View,No_Purchase,Very_Unsatisfied,2025-11-03,444
USER_0041,Senior_Conservative,North_America,Social_Media_Promo,Light_Exposure,No_Click,Small_Order,Somewhat_Satisfied,2025-11-07,227
USER_0042,Senior_Conservative,Asia_Pacific,Search_Engine_Ad,Medium_Exposure,Detailed_Engagement,No_Purchase,Somewhat_Satisfied,2025-11-15,189
USER_0043,Family_Oriented,Europe,Search_Engine_Ad,Heavy_Exposure,Detailed_Engagement,No_Purchase,Very_Unsatisfied,2025-10-27,267
USER_0044,Young_Professional,Europe,Video_Commercial,Medium_Exposure,Detailed_Engagement,Medium_Order,Somewhat_Satisfied,2025-10-31,436
USER_0045,Tech_Enthusiast,North_America,Video_Commercial,Heavy_Exposure,Quick_View,No_Purchase,Very_Unsatisfied,2025-11-17,262
USER_0046,Young_Professional,Europe,Social_Media_Promo,Light_Exposure,Detailed_Engagement,No_Purchase,Neutral,2025-11-10,205
USER_0047,Senior_Conservative,North_America,Video_Commercial,Light_Exposure,Detailed_Engagement,Large_Order,Somewhat_Satisfied,2025-11-14,466
USER_0048,Student_Budget,Europe,Email_Campaign,Light_Exposure,No_Click,No_Purchase,Neutral,2025-11-14,378
USER_0049,Senior_Conservative,Asia_Pacific,Social_Media_Promo,Light_Exposure,Quick_View,No_Purchase,Very_Unsatisfied,2025-11-06,28
USER_0050,Family_Oriented,North_America,Video_Commercial,Light_Exposure,Detailed_Engagement,Large_Order,Very_Satisfied,2025-10-31,515
USER_0051,Student_Budget,Europe,Social_Media_Promo,Light_Exposure,Detailed_Engagement,Medium_Order,Very_Satisfied,2025-10-25,48
USER_0052,Young_Professional,Europe,Social_Media_Promo,Medium_Exposure,Quick_View,Medium_Order,Somewhat_Satisfied,2025-11-01,597
USER_0053,Senior_Conservative,Asia_Pacific,Video_Commercial,Heavy_Exposure,Detailed_Engagement,Small_Order,Somewhat_Satisfied,2025-10-23,203
USER_0054,Young_Professional,North_America,Video_Commercial,Light_Exposure,Detailed_Engagement,Medium_Order,Very_Satisfied,2025-10-25,310
USER_0055,Senior_Conservative,North_America,Social_Media_Promo,Heavy_Exposure,Quick_View,No_Purchase,Somewhat_Satisfied,2025-11-12,135
USER_0056,Student_Budget,North_America,Search_Engine_Ad,Light_Exposure,No_Click,No_Purchase,Somewhat_Unsatisfied,2025-11-18,396
USER_0057,Student_Budget,Latin_America,Search_Engine_Ad,Light_Exposure,Detailed_Engagement,Small_Order,Very_Satisfied,2025-11-07,182
USER_0058,Young_Professional,Asia_Pacific,Search_Engine_Ad,Heavy_Exposure,No_Click,No_Purchase,Somewhat_Satisfied,2025-11-01,56
USER_0059,Student_Budget,Europe,Search_Engine_Ad,Medium_Exposure,Quick_View,Medium_Order,Very_Unsatisfied,2025-11-07,339
USER_0060,Tech_Enthusiast,Asia_Pacific,Search_Engine_Ad,Medium_Exposure,Quick_View,No_Purchase,Somewhat_Unsatisfied,2025-10-24,325
USER_0061,Student_Budget,North_America,Video_Commercial,Heavy_Exposure,Detailed_Engagement,Medium_Order,Neutral,2025-10-30,470
USER_0062,Senior_Conservative,North_America,Video_Commercial,Heavy_Exposure,Shared_Content,Medium_Order,Somewhat_Satisfied,2025-11-17,19
USER_0063,Tech_Enthusiast,Asia_Pacific,Social_Media_Promo,Light_Exposure,Quick_View,Medium_Order,Very_Satisfied,2025-11-02,291
USER_0064,Family_Oriented,Latin_America,Video_Commercial,Heavy_Exposure,Detailed_Engagement,Small_Order,Neutral,2025-11-03,527
USER_0065,Senior_Conservative,Europe,Email_Campaign,Heavy_Exposure,Quick_View,Small_Order,Very_Satisfied,2025-10-31,154
USER_0066,Young_Professional,North_America,Social_Media_Promo,Light_Exposure,No_Click,Small_Order,Very_Satisfied,2025-11-17,357
USER_0067,Family_Oriented,North_America,Search_Engine_Ad,Medium_Exposure,Detailed_Engagement,Small_Order,Very_Satisfied,2025-11-07,398
USER_0068,Young_Professional,Asia_Pacific,Email_Campaign,Medium_Exposure,Quick_View,Small_Order,Somewhat_Satisfied,2025-11-08,444
USER_0069,Tech_Enthusiast,Europe,Video_Commercial,Medium_Exposure,Detailed_Engagement,Medium_Order,Somewhat_Unsatisfied,2025-11-17,317
USER_0070,Student_Budget,Europe,Video_Commercial,Light_Exposure,Detailed_Engagement,Medium_Order,Very_Satisfied,2025-11-09,193
USER_0071,Tech_Enthusiast,Asia_Pacific,Social_Media_Promo,Light_Exposure,Detailed_Engagement,Small_Order,Neutral,2025-11-08,120
USER_0072,Young_Professional,North_America,Social_Media_Promo,Light_Exposure,Detailed_Engagement,No_Purchase,Very_Unsatisfied,2025-11-16,204
USER_0073,Student_Budget,Latin_America,Email_Campaign,Light_Exposure,Detailed_Engagement,Small_Order,Neutral,2025-10-28,414
USER_0074,Student_Budget,Europe,Search_Engine_Ad,Heavy_Exposure,No_Click,No_Purchase,Very_Unsatisfied,2025-10-24,258
USER_0075,Student_Budget,Europe,Search_Engine_Ad,Light_Exposure,Quick_View,No_Purchase,Neutral,2025-11-11,262
USER_0076,Tech_Enthusiast,Europe,Video_Commercial,Light_Exposure,Shared_Content,Medium_Order,Somewhat_Satisfied,2025-10-24,535
USER_0077,Young_Professional,North_America,Email_Campaign,Heavy_Exposure,Detailed_Engagement,No_Purchase,Neutral,2025-11-13,24
USER_0078,Young_Professional,Asia_Pacific,Social_Media_Promo,Medium_Exposure,Detailed_Engagement,No_Purchase,Somewhat_Unsatisfied,2025-10-25,154
USER_0079,Family_Oriented,Europe,Search_Engine_Ad,Medium_Exposure,Quick_View,Small_Order,Somewhat_Satisfied,2025-11-04,378
USER_0080,Student_Budget,North_America,Search_Engine_Ad,Heavy_Exposure,Detailed_Engagement,Small_Order,Somewhat_Satisfied,2025-11-13,386
USER_0081,Young_Professional,North_America,Social_Media_Promo,Light_Exposure,No_Click,No_Purchase,Very_Unsatisfied,2025-10-26,146
USER_0082,Young_Professional,Europe,Search_Engine_Ad,Heavy_Exposure,No_Click,No_Purchase,Somewhat_Satisfied,2025-11-15,127
USER_0083,Family_Oriented,North_America,Email_Campaign,Heavy_Exposure,Quick_View,Small_Order,Neutral,2025-11-07,335
USER_0084,Tech_Enthusiast,Asia_Pacific,Social_Media_Promo,Medium_Exposure,Quick_View,Small_Order,Very_Satisfied,2025-11-13,148
USER_0085,Tech_Enthusiast,North_America,Email_Campaign,Light_Exposure,Quick_View,Small_Order,Somewhat_Satisfied,2025-11-17,22
USER_0086,Senior_Conservative,North_America,Social_Media_Promo,Light_Exposure,No_Click,No_Purchase,Somewhat_Unsatisfied,2025-11-16,104
USER_0087,Tech_Enthusiast,Asia_Pacific,Video_Commercial,Light_Exposure,Shared_Content,Large_Order,Neutral,2025-11-16,522
USER_0088,Senior_Conservative,Europe,Video_Commercial,Light_Exposure,Shared_Content,Small_Order,Neutral,2025-10-29,174
USER_0089,Tech_Enthusiast,Europe,Search_Engine_Ad,Light_Exposure,Detailed_Engagement,Small_Order,Very_Satisfied,2025-11-12,535
USER_0090,Tech_Enthusiast,Europe,Search_Engine_Ad,Medium_Exposure,Quick_View,No_Purchase,Very_Unsatisfied,2025-11-17,113
USER_0091,Student_Budget,North_America,Video_Commercial,Medium_Exposure,Detailed_Engagement,No_Purchase,Neutral,2025-10-21,298
USER_0092,Student_Budget,Asia_Pacific,Video_Commercial,Light_Exposure,Detailed_Engagement,Small_Order,Somewhat_Satisfied,2025-10-20,205
USER_0093,Student_Budget,Asia_Pacific,Video_Commercial,Light_Exposure,Shared_Content,Small_Order,Very_Satisfied,2025-10-26,24
USER_0094,Senior_Conservative,North_America,Social_Media_Promo,Medium_Exposure,Detailed_Engagement,Medium_Order,Somewhat_Satisfied,2025-11-15,292
USER_0095,Family_Oriented,North_America,Video_Commercial,Medium_Exposure,Detailed_Engagement,Small_Order,Very_Satisfied,2025-11-07,227
USER_0096,Student_Budget,Europe,Email_Campaign,Light_Exposure,Detailed_Engagement,Large_Order,Somewhat_Satisfied,2025-11-15,142
USER_0097,Tech_Enthusiast,Asia_Pacific,Social_Media_Promo,Medium_Exposure,Detailed_Engagement,Small_Order,Somewhat_Satisfied,2025-11-11,306
USER_0098,Tech_Enthusiast,Europe,Social_Media_Promo,Heavy_Exposure,Detailed_Engagement,No_Purchase,Somewhat_Satisfied,2025-10-28,576
USER_0099,Young_Professional,Europe,Search_Engine_Ad,Medium_Exposure,Quick_View,Small_Order,Somewhat_Satisfied,2025-11-16,584
USER_0100,Family_Oriented,Asia_Pacific,Video_Commercial,Medium_Exposure,Detailed_Engagement,Large_Order,Somewhat_Satisfied,2025-10-23,188
USER_0101,Young_Professional,Europe,Social_Media_Promo,Light_Exposure,Quick_View,Small_Order,Neutral,2025-10-24,165
USER_0102,Young_Professional,Europe,Video_Commercial,Medium_Exposure,Detailed_Engagement,Medium_Order,Somewhat_Satisfied,2025-11-11,570
USER_0103,Family_Oriented,North_America,Search_Engine_Ad,Medium_Exposure,Detailed_Engagement,Small_Order,Somewhat_Satisfied,2025-11-02,438
USER_0104,Family_Oriented,Asia_Pacific,Email_Campaign,Light_Exposure,Detailed_Engagement,Medium_Order,Somewhat_Satisfied,2025-11-02,123
USER_0105,Student_Budget,Asia_Pacific,Social_Media_Promo,Light_Exposure,No_Click,No_Purchase,Very_Unsatisfied,2025-10-31,171
USER_0106,Family_Oriented,North_America,Social_Media_Promo,Medium_Exposure,Detailed_Engagement,No_Purchase,Very_Unsatisfied,2025-10-26,452
USER_0107,Student_Budget,Europe,Search_Engine_Ad,Medium_Exposure,Detailed_Engagement,Medium_Order,Somewhat_Satisfied,2025-11-16,105
