region,time_of_day,weather_type,weather_intensity,special_event,road_conditions,order_density,traffic_flow,region_encoded,weather_encoded
urban,6.280936409661743,rainy,0.8486224532681885,0,0.1478409233214188,0.8934654707336624,0.6207097998592482,0,1
rural,5.927491177727996,sunny,1.6369752550973982,0,0.4749627796537676,0.33699256130043903,0.5667957216453253,2,0
suburban,21.75010993250488,rainy,1.4277871213455,0,0.3494276456490927,0.3882672991068765,0.14378609642735982,1,1
suburban,5.989108796388146,rainy,0.16711761040988898,1,0.41509005161582746,0.4958508895422621,0.8836605508128917,1,1
urban,6.526793427087144,sunny,0.1616363423177122,0,0.9225268610406603,0.897048845961338,1.0,0,0
urban,18.225558298031128,snowy,0.3122130006984853,0,0.5296694414846901,0.9741735370632713,1.0,0,2
urban,10.793756218812959,sunny,0.44796777407365596,0,0.717118940788905,0.8636553206873265,1.0,0,0
rural,18.64105336692435,sunny,0.525018503553894,0,0.6443254064784212,0.8322609225262767,0.7266494744311056,2,0
suburban,1.5687877815452458,rainy,1.1384885331551513,0,0.5130230077621992,0.4061816645989732,0.43040044536344696,1,1
suburban,11.701708648161222,sunny,0.058350169521379225,0,0.8566319775554021,0.6414029135561987,0.9297524214617221,1,0
urban,0.8067264043987832,rainy,0.03528806854202966,0,0.7564244498198253,0.6218338750442161,0.9074306841625986,0,1
rural,1.5036768829285085,rainy,0.49743330741297387,0,0.6637278289576374,0.19679319487649896,0.49356754253236756,2,1
rural,21.754498880265864,snowy,1.1945628575330811,0,0.1,0.22821467856459643,0.25605280926505647,2,2
urban,3.341888906822284,sunny,0.2149712147065439,0,0.8084406013818097,0.6795863812341226,0.8554882411619066,0,0
urban,12.77809637460521,sunny,1.0258391190380263,0,0.6324244449052386,0.8654388134060764,0.8022255657236868,0,0
urban,9.866294462416956,rainy,0.3008728737222328,0,0.6101844623158105,0.8289911174037663,0.8585561100729029,0,1
urban,8.336239830212225,sunny,2.1723124564704275,0,0.6450712501267405,1.0,1.0,0,0
suburban,21.596000296494537,sunny,2.2603875099891226,0,0.6085562921361608,0.44612151621526114,0.8613630994152045,1,0
urban,0.523761522611748,sunny,0.352807011587779,0,0.5621776404556419,0.5812942483526338,0.8566979658014344,0,0
urban,15.930952468214137,sunny,0.26135665243125616,0,0.793538020771777,0.8095462041358297,0.9105421162354335,0,0
suburban,23.12146642112521,sunny,0.5298453101530028,0,0.9621211825626926,0.3970389028910599,0.9754151200387456,1,0
urban,13.444036403084207,rainy,0.2751365446183705,0,0.8516794309484006,0.8226931943800249,0.9633578655801224,0,1
urban,22.483739088794202,rainy,1.115912609817942,0,0.1139131498655303,0.6281069587046153,0.4242090138892096,0,1
urban,1.2541891028645704,sunny,1.7490717991613753,0,0.9578406102813746,0.7046954534428209,0.9333755679752161,0,0
urban,10.051039657779874,sunny,1.1180768936885803,0,0.6363682996764142,0.8046637366565966,0.8462588281333918,0,0
suburban,6.243786983089228,sunny,1.7392644465265998,0,0.8201466030291182,0.44791070960962365,0.8698205477069898,1,0
urban,17.539703159537517,rainy,0.5058250843418695,0,0.3670094082879969,1.0,0.9896261931453749,0,1
suburban,23.55113017193392,sunny,0.16997841263755953,0,0.728395982774801,0.47654209703808126,0.8644452702304839,1,0
suburban,6.156721498661947,rainy,1.3392235690718926,0,0.36097756585781365,0.5688259710772413,0.38607525362689066,1,1
urban,15.700190435377788,sunny,0.4470287918955937,0,0.4030790416160694,0.8547738978737561,0.7344248415116102,0,0
suburban,4.754343186233763,rainy,1.1125210442012357,0,0.4878971200084672,0.22944620527215387,0.3923118394791656,1,1
urban,13.567926109718638,sunny,0.31559324643349557,0,0.969187001567663,0.7153960327372366,1.0,0,0
urban,11.13437968052007,rainy,0.08471906250393826,0,0.6396546921124929,0.8656898706319648,0.8586993609392026,0,1
rural,23.32812791115689,sunny,4.903818230567541,0,0.9720336261656026,0.22776525953849702,0.9478300817888188,2,0
rural,14.604654544715197,rainy,0.16984156636460163,0,0.6111088314001379,0.30599097740795034,0.6646796879623842,2,1
rural,8.38815293008365,sunny,4.458561645018778,0,0.8699169062093234,0.6123754642524278,0.9577978558874206,2,0
urban,2.738298837310401,rainy,3.7845067171075035,0,0.1,0.6312062131726738,0.1,0,1
urban,3.6299238896384294,rainy,1.5789965090618763,0,0.7100566031441298,0.6858270430181872,0.5167811673697403,0,1
suburban,5.407606318829642,sunny,1.0771139295910264,0,0.9990916490485914,0.3737037063132677,0.8476366060981398,1,0
urban,6.023199872167152,rainy,0.8622928425493258,1,0.38438704638446647,0.6088840674739513,1.0,0,1
urban,20.41478538818731,sunny,2.0106735676349174,1,0.3055821946712363,0.7432552718771649,1.0,0,0
urban,13.469346918780598,sunny,0.34170121419421207,0,0.7576056736610978,0.9801528407832186,1.0,0,0
urban,12.561381872984795,sunny,0.6305127444514089,0,0.41121489058524857,1.0,0.9432135855463908,0,0
rural,2.7544529248612193,sunny,0.9659799696762551,0,0.7889707075114976,0.28311771355658877,0.8464811459026822,2,0
urban,20.64335264038644,rainy,0.5296525362049009,0,0.623417382971386,0.7807018632239311,0.9794245862322601,0,1
suburban,17.34754327700361,rainy,0.557718882855961,0,0.34440370134280673,0.6217884918015172,0.6171450816941013,1,1
urban,1.624040685600038,sunny,0.4009025337516593,0,0.9241934047228755,0.3656960898348159,0.9371124255596868,0,0
suburban,16.98804233351445,sunny,0.8306448666735943,0,0.8611149405612346,0.4385961838450589,0.7309335385186102,1,0
suburban,13.044917216223507,rainy,1.9009575256026636,0,0.3248774097769136,0.480192636985064,0.21132118122662777,1,1
urban,1.9614082979226781,snowy,0.2250558511023859,0,0.5892436151825861,0.7300625401055959,0.6896231379007319,0,2
rural,10.999215396687756,sunny,2.724683349435251,0,0.4168951866172586,0.38678054595424455,0.8101985967847918,2,0
suburban,11.632710891121128,snowy,1.16824425137824,0,0.31145232875310747,0.522740507899162,0.19250021839326859,1,2
rural,3.978588963918618,sunny,1.7331503134101565,1,0.6459257201728417,0.1,0.9481392857938644,2,0
rural,22.696755528006776,sunny,0.8123602967116906,0,0.42204397136146615,0.20392204417551096,0.33062354153117746,2,0
suburban,20.399408915535886,rainy,1.511933330383703,0,0.5168278740797543,0.5254127687071435,0.3788395246191151,1,1
rural,16.0565360958986,sunny,0.016333058503340644,0,1.0,0.36970509788397266,0.8618166343920052,2,0
urban,11.095093464014573,sunny,1.7058410255599656,0,0.6917503742041593,0.8391881262245585,1.0,0,0
urban,9.882372998028204,sunny,0.040966649862924864,0,1.0,0.6965402040393346,1.0,0,0
urban,15.6233632116229,rainy,2.206487735485061,0,0.1,0.8650667628792087,0.1749083294338537,0,1
urban,13.090364865765732,rainy,4.823667950531431,0,0.1,0.8425910967101412,0.1,0,1
urban,1.4945545411652548,sunny,0.34823560154579847,0,0.5739083091629045,0.49293335938098215,0.7792265569324321,0,0
urban,12.30006357048796,sunny,0.236125650647291,0,1.0,0.7215679029699744,1.0,0,0
rural,19.353686813588148,sunny,1.4497171906671587,1,0.5439712237224456,0.36884959745615664,0.9079762179486258,2,0
urban,11.021757062326994,sunny,0.29172535674715716,0,0.8470538619949974,0.7765492464854109,0.8727849473533082,0,0
urban,1.246957861302442,sunny,2.006655002942597,1,0.5881672329881583,0.7589147301636457,1.0,0,0
suburban,18.870676785216794,rainy,0.10852394977398257,0,0.5753814625529327,0.8501129276064576,0.8681278006637326,1,1
urban,4.832730771263385,sunny,0.13462364191664372,0,0.9060499387939134,0.551336881181073,0.9356096125699547,0,0
rural,6.206900037312931,sunny,3.8704759186803566,0,0.6239926307421292,0.2989794399609067,0.8937001506375281,2,0
urban,3.9529524823751014,sunny,1.1203638425948372,0,0.6190409241159414,0.6063383392637718,0.8680233882192915,0,0
rural,7.925161556915941,sunny,1.8765805338753758,0,0.9265609394349614,0.5271609686758291,0.6580160970095225,2,0
suburban,18.16203613652724,snowy,0.3920495662842343,0,0.8234546755022074,0.7087411801822374,0.8898585097858763,1,2
urban,12.465260628094496,sunny,1.1285059329816718,0,0.8289379606568467,0.87013898938095,0.8476152454602705,0,0
urban,4.917150579617101,sunny,0.9019979306056842,0,0.5690460448752102,0.6845273297042096,0.7363795244001932,0,0
rural,21.06792187564898,sunny,0.9241972061363579,0,0.597878300140484,0.36037814695529585,0.6660478169701494,2,0
suburban,21.1099645188367,sunny,1.1473797006401978,0,0.7159830527480074,0.6515318094323802,0.815518931577687,1,0
suburban,20.893882201104166,sunny,0.8565115806121819,0,0.7641860123851315,0.4458226763988398,0.7019062686696742,1,0
suburban,5.731109073156943,sunny,0.5604753034927772,0,0.5024268179720456,0.6674270766071131,0.8215470505161808,1,0
