weather,traffic,delay_decision,maintenance_flag,accident_risk,profit
0,0.3736408184666985,1,0,0.19637649666790813,7.450824963800015
2,0.3329120962314033,0,0,0.25251176535005815,6.264947553448361
1,0.17615391250286005,0,1,0.026726602283846372,11.017738191152176
0,0.6072666701014879,0,0,0.1615027508830685,9.620003343697169
0,0.4766241605086289,0,0,0.11307910125291193,8.918219206358149
0,0.8657009923240037,1,0,0.2860641454796323,8.343981449744302
0,0.03210958048205825,1,1,0.09152298275681013,9.602145231968638
1,0.6438679275551263,0,0,0.09649978115922954,7.991623615743919
1,0.7629488785115611,1,0,0.2047099610117851,0.20363944947747603
1,0.759486569188307,0,0,0.20680008833364333,7.761950099670871
0,0.8860739670955251,0,0,0.23295153713235459,8.85279042016325
2,0.7290337428294941,0,1,0.3397767775685987,0.49438115904038127
1,0.9278100616476963,0,1,0.1727837468110007,4.273977910562028
0,0.33265659982089146,0,0,0.05684995930880185,10.709264903275178
0,0.5032094167515431,0,0,0.053659542590410295,4.547446371702103
0,0.014079663282890675,1,1,0.05830612885873483,7.282604640390801
0,0.006957587303291213,1,0,0.17251750466353422,5.309734844327544
0,0.2401266204515199,1,0,0.27009776926075013,4.325336022794952
0,0.10080719713908526,0,0,0.07286571006639275,8.502688068412441
0,0.2602113679357536,0,0,0.04136277907034514,6.7102970246037
1,0.1770432945283974,0,1,0.0,9.104960087631747
0,0.02852002483864824,0,0,0.013268708764513762,5.638060640633375
0,0.9093041464060494,0,0,0.21156139920296935,8.646083889977994
0,0.008223131388891525,0,0,0.1076893975275218,7.443369062346607
0,0.7360821443370854,0,0,0.2571619013752562,11.909862148998863
1,0.15214788691951653,0,0,0.07181678264515899,6.4708386158070645
0,0.9122296219996,0,0,0.24159942990559988,3.820538940041093
0,0.8927959395898858,0,0,0.1886812932743039,9.584191806842812
0,0.6539011463692573,0,0,0.09528480705616613,7.05256812146178
0,0.6722341498006051,0,0,0.2738637476332583,9.778868141106937
1,0.005339141969688543,1,0,0.03494347586426076,5.955897524152632
0,0.984871566113602,0,0,0.15518229733949276,11.703732616056097
0,0.8778326035758144,1,1,0.36538681347314517,5.45096899298936
2,0.895106225730092,0,0,0.3798520153795407,3.5994814626568816
2,0.6592445370508719,0,1,0.22555316205577225,3.28108301643865
1,0.34478692865453653,1,0,0.2530925672853728,1.7959518811762387
0,0.8936486490904808,0,1,0.2173823951203951,10.392450702648183
0,0.29151692815119234,0,0,0.04166910337285125,7.20567923116639
1,0.5627115433422029,1,0,0.23590003984496186,3.0401852398953673
0,0.0997309723438824,0,0,0.11375848765406252,7.952800954409435
0,0.9219556301327502,0,0,0.1935458387080255,10.135821424251638
0,0.14077045777121333,1,0,0.1922622784849343,4.568540482131883
0,0.22489680573040727,1,0,0.2662199704643951,5.052575051034861
2,0.558134158128215,0,0,0.19200259004858705,3.5518062836962945
0,0.7640930002129815,0,0,0.18575618407615824,11.489396631421009
1,0.619351305936299,1,0,0.28695206111563426,1.6393508967486279
0,0.23213391280015616,0,0,0.006824313262860815,9.143621344038444
0,0.0009430425274903342,0,0,0.023708038992874655,7.1139323026508965
0,0.7571505803074392,0,0,0.25365504826857854,6.004770086336239
0,0.9852073259110937,1,1,0.2618257077450243,6.73135684287048
2,0.8099131203060904,0,0,0.2877663022669302,2.7620066002619614
1,0.46020661815661534,1,1,0.24858291478943614,3.1075429780847683
2,0.9037672613991066,0,0,0.40297853695634295,5.258601567435223
1,0.40984767311835,0,1,0.07852672004843897,3.02723041327122
0,0.5249340842434675,1,0,0.2500672254932924,10.635105483033012
2,0.47712976739568325,1,0,0.44684007703438366,1.7818287448344639
0,0.44762387266552495,0,1,0.10425119078356646,8.51440447198305
0,0.7751907692939057,0,0,0.23731876117220826,8.88391548432469
0,0.526768907269492,1,0,0.22072546171354415,4.868506137798218
0,0.31671712202521607,0,1,0.0,10.638466418885093
0,0.2581581676584783,0,0,0.13272731854211842,13.237868248807922
0,0.037747316967433386,0,0,0.11259585947679579,7.806656707681572
1,0.583195161883046,1,0,0.255410933992985,2.4927013116194185
0,0.2299614154010342,1,0,0.2403801122698825,4.563426660645181
0,0.1481339220163831,1,1,0.11286614474443075,5.904843618801358
0,0.6538299638276777,0,0,0.17623103469961193,7.784763659731873
0,0.6812092578215488,0,0,0.2738632909836734,5.619322494782697
1,0.752154892257666,0,0,0.18585497576621166,4.985936060242697
0,0.5035768963385915,0,0,0.1331869096400486,9.042969514578369
2,0.8940546052038866,0,1,0.23531194488041163,2.311204630346297
1,0.9363427533982278,0,0,0.27177220867869517,0.22763163213945958
0,0.8073709397924894,0,0,0.17598211968578253,8.283507627772616
0,0.6355934820081872,0,0,0.1844799469522721,8.42961718029284
1,0.30372095359118867,0,1,0.044992236346601835,10.435145499114165
1,0.9829449216202212,1,0,0.3242993485494471,2.4592426519652992
1,0.27413616719193834,0,0,0.0989407589453055,8.079646073502877
1,0.20265692199043106,0,0,0.08848876742011581,5.4406904439269255
