weather_severity,traffic_congestion,warehouse_congestion,driver_experience,truck_allocation,route_complexity,package_volume,time_sensitivity,delayed,date,day_of_week,month,is_weekend,is_holiday_season,is_extreme_weather,split
-1.946871022,-2.487457949,0.7296421626228213,0.6048880099408527,-0.985372713,-4.307212713,-2.732390055,0.802187993103423,0,2024/1/1,0,1,0,1,0,test_holiday
0.6960155506947986,-2.698404945,2.2663286011027184,1.600931752000911,1.8203107441797406,0.004176043309594676,2.9238180485777474,1.5317298165002904,1,2024/1/2,1,1,0,1,0,test_holiday
0.642064171474754,-0.347837485,0.4787366524571701,-1.817544012,0.3743458639125419,-0.408907229,-0.058255151,1.1513029154462457,1,2024/1/3,2,1,0,1,0,test_holiday
0.8430121163305199,-1.49011868,0.8018989850266006,-2.225083429,1.9287864736179572,-1.866912056,0.2705812287199587,1.5403999486482463,1,2024/1/4,3,1,0,1,1,test_holiday
-0.302847614,-0.238346785,1.10892906946322,-1.94007231,0.09641349006492583,-1.334357095,-0.685110886,0.38692695553962525,1,2024/1/5,4,1,0,1,0,test_holiday
1.420770972599947,-1.8635014,0.7691498420496949,-2.663870727,2.2009599018061463,-1.581811217,0.7380080312279991,2.406845072425046,1,2024/1/6,5,1,1,1,1,test_holiday
0.06820412715330304,0.3446579349107419,1.6455576964493446,-0.440186004,1.5528185433212394,-1.523746074,-0.508552406,-1.61846216,1,2024/1/7,6,1,1,1,0,test_holiday
0.093803754824751,-0.671506518,0.5733308722734518,-0.752080721,0.18301707407998258,-2.323963381,-1.96466275,0.3161121666555778,0,2024/1/8,0,1,0,1,0,test_holiday
-2.242593214,0.35643735649684394,0.6356878306773903,1.9022840972662616,1.1718068840297506,-2.332856796,-0.622955164,-3.686944427,0,2024/1/9,1,1,0,1,0,test_holiday
-0.223788582,-0.285998343,2.572043548865894,0.015456143582008863,2.4187250494407975,-2.44323517,-0.177704135,-2.05731071,1,2024/1/10,2,1,0,1,0,test_holiday
1.1401390796003947,-0.632604878,0.7375293688539508,-2.05404619,2.350379211566182,-1.893763748,-0.239375762,0.410744515842164,0,2024/1/11,3,1,0,1,1,test_holiday
0.6721159067818583,0.4446992984856122,0.4269593719884125,-4.195809029,0.9921815942735412,-1.87253024,-1.484426152,0.5909859300463512,1,2024/1/12,4,1,0,1,0,test_holiday
-3.047822206,1.081529813701752,0.8484020212840713,1.2756921718546606,0.5352703972419615,-1.898840033,-0.472269503,-4.246984313,0,2024/1/13,5,1,1,1,0,test_holiday
-1.265162689,-2.199941022,1.8868181968479547,1.022262420762941,-0.24555903,-2.901649554,-1.083752647,0.47713852622959013,0,2024/1/14,6,1,1,1,0,test_holiday
2.118057614788576,-1.05308709,0.010851180365284652,-2.059315075,0.9692746323574497,1.075239313496551,1.5872119289929612,3.010873639805096,1,2024/1/15,0,1,0,1,1,test_holiday
-4.512230766,-2.169986052,1.1122115046600798,4.003911576202608,0.893014142610906,-4.516210545,-0.312824395,-3.353830714,0,2024/1/16,1,1,0,1,0,test_holiday
1.70039698214715,-1.798218592,1.3952616698668372,4.1089776242480145,0.41132642298096256,4.300252231704089,4.971091585505979,1.9085670190573627,1,2024/1/17,2,1,0,1,1,test_holiday
1.578202831881062,-1.242426959,1.4158521615929565,0.9541170536744619,2.4449939538185976,0.20089861982987126,2.0418297652399997,0.44477509853334185,1,2024/1/18,3,1,0,1,1,test_holiday
