order_id,order_volume,order_priority,order_deadline,vehicle_capacity,vehicle_speed,vehicle_cost_per_km,distance,traffic_condition,weather_condition,time_estimate,delay_risk,overload_risk,base_reward
0,4.370861069626263,3,15,12.31993941811405,59.93292420985183,0.7340279606636548,35.41893146555952,1,1,0.6500738137804906,0.0,0.0,3.7039113926401717
1,1.5227525095137953,3,21,11.011150117432088,65.40362888980228,0.5308767414437037,194.1324211715889,3,1,3.8586872289347145,0.0,0.0,0.960980472291528
2,8.491983767203795,1,6,5.007787658410143,79.61057796456087,1.4262222644415747,124.27236629521477,2,3,1.873203830031763,0.0,0.6957555604304125,0.561041243330607
3,1.0635967469774568,1,17,10.247746602583891,49.99304858576278,0.5699984948204231,194.88232617408454,1,3,4.28800733013394,0.0,0.0,0.8921988865935643
4,3.094942063872738,2,15,11.183860093330873,49.12309956335814,1.9748463287101823,96.01876418335608,1,1,2.1501216645636134,0.0,0.0,0.5245975834717078
5,8.739463660626885,1,7,6.705241236872915,33.25257964926398,1.92332830588,193.29824644953908,2,1,6.975636121649921,0.0,0.30337796238672826,0.26825762115802565
6,8.275576133048151,3,9,5.159662522202142,41.54469128110745,0.8615381990390176,138.23638617096435,1,3,3.6601553676055474,0.0,0.6038987234994855,0.8326677044367464
7,6.489969920043588,1,8,5.343885211152184,75.4660201039391,0.8881699724000254,134.1918454490265,4,1,2.489446023122543,0.0,0.21446656573004858,0.832049427892795
8,3.8053996848046987,2,6,7.079416628681888,58.385016390999574,0.5469699386833379,169.24553104602472,3,1,3.76841874782362,0.0,0.0,1.0686932768792368
9,5.047787200327891,1,10,13.948273504276488,59.89499894055426,1.8828113525346752,22.2560379001243,4,2,0.5202179415863879,0.0,0.0,2.330789309855542
10,2.763845761772307,2,8,13.445338486781514,67.36600550686904,1.3095381985836196,119.4164773044504,2,1,2.1271822737171013,0.0,0.0,0.6354029821515721
11,9.687297765377242,2,13,6.409242249747626,70.10984903770199,0.6118259655196563,197.44295263710086,1,1,3.0978136578787554,0.0,0.5114575776502588,0.8210131745227649
12,7.9502029236699165,2,12,7.934881747180381,30.703991135754222,0.7982636061332078,143.71168078598674,1,2,5.148609122691575,0.0,0.0019308638714092274,0.8641563161195253
13,8.11157986478085,2,5,14.26300878513349,62.55385127509722,1.8724395133156713,170.75752266901085,3,1,3.5486988401957364,0.0,0.0,0.31178568667497536
